Country,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Afghanistan,299.4773,291.278,278.9631,278.7908,287.1629,288.0142,286.6426,286.4475,286.2652,286.636,283.7863,281.8835,273.3371,271.3029,269.1035,260.5358,255.1756,246.5213,237.5096,228.7572,221.5256,214.3327,207.3887,200.9056,195.437,191.8011,186.6689,183.9414,180.9414,180.9414
India,211.3767,209.5381,207.4626,201.1393,195.991,190.7224,187.9427,191.9424,189.4919,180.3118,175.9397,172.7159,167.6113,160.9727,151.5715,148.7065,148.5518,148.0563,147.3248,145.8736,145.2206,144.7435,141.7832,140.0035,137.5978,136.3533,134.6439,131.994,130.994,130.994
Pakistan,144.7155,148.012,148.656,149.6526,151.1992,154.9523,155.4299,156.7512,155.4566,153.7045,152.2379,151.2535,150.3892,149.5868,148.6725,147.9783,146.093,143.8172,143.0139,141.1182,139.2944,137.4024,133.9389,131.6027,129.9175,127.8248,125.4833,123.2155,121.2155,120.2155
Nepal,212.9643,207.0378,199.7174,195.239,188.4878,182.1236,175.6242,169.927,163.9186,158.6118,153.0724,148.3972,144.8937,142.3674,140.6293,140.7983,141.0978,141.479,141.1999,141.2406,140.8792,141.2171,140.3723,139.2191,137.5944,136.4322,134.8789,133.2611,134.2611,132.2611
Myanmar,227.0945,226.1115,223.4687,220.7497,217.5415,214.5832,211.7757,208.294,204.9915,201.5529,197.3599,193.876,189.2995,185.1028,181.0737,174.8022,169.3123,162.7323,156.3392,150.4516,144.0312,138.919,134.334,131.0247,127.1003,123.9715,120.8691,118.1052,116.1052,113.1052
Laos,273.2184,267.2189,261.4088,255.5695,249.8892,244.0939,238.3499,232.693,226.7245,220.2169,213.9022,208.2625,201.1985,195.2465,189.1887,184.1313,178.3055,171.7437,167.0018,161.1615,154.8753,147.5603,142.6145,137.4576,132.5201,127.4833,123.1877,119.6857,116.6857,115.6857
Cambodia,224.6282,220.474,216.5085,213.3272,210.7392,207.4,202.9112,198.6013,193.5724,188.1159,181.9472,175.9783,169.4614,163.2418,157.4302,150.9598,145.0912,139.7389,134.588,130.4165,126.5115,122.9125,119.8883,116.8129,114.4103,111.8932,109.4873,107.9795,105.9795,104.9795
Vietnam,103.2554,101.667,99.90434,98.08355,95.90425,93.73591,91.67773,90.05221,88.67986,87.81452,87.23547,86.4376,85.312,84.01669,82.81922,80.95886,79.44606,77.56724,75.85442,74.12937,72.05496,70.13566,68.0912,66.67659,65.01125,63.13581,61.47305,60.31753,58.31753,56.31753
China,184.4132,181.8007,177.2835,172.2671,167.0829,160.714,155.3858,149.6834,144.8416,138.2017,133.1367,128.094,124.9979,122.312,118.0012,111.3419,102.9485,97.83588,95.43913,94.24722,92.97014,90.65488,85.77144,81.73469,78.99032,78.25141,74.70571,72.67679,70.67679,68.67679
Mongolia,168.3826,168.0307,165.7426,166.35,169.3113,174.816,177.1787,177.5715,174.3825,170.3259,163.5649,157.6212,152.7898,146.6861,140.8046,136.6298,129.279,121.454,117.3262,116.4376,110.3924,104.9382,97.29275,91.80089,86.28392,84.75749,81.37903,81.61392,79.61392,77.61392
North Korea,162.6611,161.412,160.507,159.6886,159.8649,163.6325,170.1889,174.8952,178.3013,180.8167,181.9028,182.2854,182.1588,180.4307,176.3625,173.1235,169.5857,166.6397,164.0875,161.297,158.9613,156.0795,153.2089,151.3745,148.3602,146.9763,142.6344,140.4387,141.4387,139.4387
Uzbekistan,102.194,104.6388,109.256,115.188,118.6156,117.3829,117.704,117.8326,120.508,119.3313,118.7035,121.3049,125.1911,128.9675,132.4013,132.8629,129.615,127.9192,127.5854,124.1209,121.557,121.3489,117.9179,116.3821,111.1785,111.072,105.8142,105.0869,106.0869,103.0869
Indonesia,108.258,105.0688,101.865,99.07642,96.16807,93.59611,91.63265,90.09977,89.14962,87.93368,86.6531,86.014,85.62905,85.2861,84.77394,83.92053,83.33914,82.46424,81.29454,79.7797,77.86786,76.30949,74.7435,72.17566,70.36965,69.3269,67.61282,66.18593,67.18593,65.18593
Iraq,117.7832,120.3321,121.9892,123.575,123.582,124.1584,126.297,127.8071,122.1749,118.6019,117.9393,110.827,110.431,104.2645,98.08956,92.27554,87.35735,82.44757,76.93883,71.95888,67.61829,61.73664,57.22126,53.68858,48.46972,46.30657,43.9448,42.67742,40.67742,38.67742
Yemen,182.9531,180.1023,177.5214,174.9292,171.8598,168.0083,164.3665,160.6709,155.9197,151.1519,145.6247,140.6888,136.2426,131.0852,126.0308,120.9579,117.226,113.8872,110.7617,107.7975,104.4357,103.8357,101.9903,100.8813,97.90256,99.42399,97.02468,96.50135,94.50135,92.50135
